taxi_st_type,taxi_st_lat,taxi_st_lon,pln_area
TAXI STAND,1.28126053659933,103.844358266128,OUTRAM
TAXI STAND,1.28140897768475,103.847445944067,OUTRAM
TAXI STAND,1.31055921876698,103.847510223867,KALLANG
TAXI STAND,1.28239093815433,103.845270402484,OUTRAM
TAXI STAND,1.28247899091206,103.846251189423,OUTRAM
TAXI STAND,1.2828723702012,103.844046135487,OUTRAM
TAXI STAND,1.28184782580222,103.848946287147,OUTRAM
TAXI STOP,1.28022560504651,103.84875808814,DOWNTOWN CORE
TAXI STAND,1.38265239389281,103.893186157785,SENGKANG
TAXI STOP,1.27893906160004,103.847973162739,DOWNTOWN CORE
TAXI STAND,1.41709038337595,103.833057754201,YISHUN
TAXI STOP,1.42186288906152,103.761265291548,SUNGEI KADUT
TAXI PICK UP,1.27155034365993,103.819213377557,BUKIT MERAH
TAXI STAND,1.32169606627462,103.846320896984,NOVENA
TAXI STOP,1.32512653371208,103.841565863546,NOVENA
TAXI STAND,1.3172544131326,103.844052492177,NOVENA
TAXI STAND,1.31962930185262,103.843572413725,NOVENA
TAXI STOP,1.28020278919656,103.850592325614,DOWNTOWN CORE
TAXI STAND,1.35089274175113,103.872910490828,SERANGOON
TAXI STOP,1.28563192767805,103.853796596424,DOWNTOWN CORE
TAXI STAND,1.32146820183483,103.814425089796,TANGLIN
TAXI STAND,1.38529328610379,103.901242888528,SENGKANG
TAXI STAND,1.30223233388227,103.905037130148,MARINE PARADE
TAXI STAND,1.29194380549074,103.850347760787,DOWNTOWN CORE
TAXI STOP,1.29098084673617,103.851396302339,DOWNTOWN CORE
TAXI STAND,1.29181937276629,103.849474752726,MUSEUM
TAXI STOP,1.29112544910464,103.850407276275,DOWNTOWN CORE
TAXI STOP,1.2944757611235,103.852906624599,DOWNTOWN CORE
TAXI STOP,1.29435646928139,103.848185471178,MUSEUM
TAXI STAND,1.28175441923505,103.841696654168,OUTRAM
TAXI STAND,1.28038085218776,103.840639419463,OUTRAM
TAXI STAND,1.28125493753887,103.839130335372,OUTRAM
TAXI STAND,1.27886665476132,103.841832426987,OUTRAM
TAXI STAND,1.28203977006202,103.840902458383,OUTRAM
TAXI STOP,1.28739548921377,103.844699362601,SINGAPORE RIVER
TAXI STAND,1.2840205021155,103.8419793196,OUTRAM
TAXI STAND,1.28553688867579,103.844821469904,OUTRAM
TAXI STOP,1.30549202565154,103.929670667767,BEDOK
TAXI STAND,1.28540490086828,103.843199238581,OUTRAM
TAXI STOP,1.36114608181775,103.990284706987,CHANGI
TAXI STOP,1.35582439289044,103.988541379591,CHANGI
TAXI STAND,1.27413178439526,103.824906137302,BUKIT MERAH
TAXI STAND,1.43635042739431,103.785077185429,WOODLANDS
TAXI STAND,1.33229479311547,103.742979275336,JURONG EAST
TAXI STAND,1.29815276760291,103.844897557362,MUSEUM
TAXI STAND,1.29701855173758,103.843952897608,MUSEUM
TAXI STAND,1.30294684167146,103.850958035546,ROCHOR
TAXI STAND,1.2999940880381,103.852669234665,ROCHOR
TAXI STAND,1.29618030480831,103.850405223987,MUSEUM
TAXI STOP,1.29770899462838,103.849155884718,MUSEUM
TAXI STOP,1.29746231944478,103.849319274261,MUSEUM
TAXI PICK UP,1.29572335827482,103.852593234785,DOWNTOWN CORE
TAXI STAND,1.3073054178357,103.820099996294,TANGLIN
TAXI STAND,1.33775966226364,103.697628395364,JURONG WEST
TAXI STOP,1.29843731805711,103.850268644468,MUSEUM
TAXI STAND,1.30645389938689,103.788253655414,QUEENSTOWN
TAXI PICK UP,1.3046418198392,103.835903782537,ORCHARD
TAXI STAND,1.30380165271055,103.877026783753,KALLANG
TAXI STAND,1.40487799979693,103.90269183469,PUNGGOL
TAXI STAND,1.30436251736577,103.835487279507,NEWTON
TAXI STOP,1.30343433904817,103.837644041347,NEWTON
TAXI STAND,1.303792885995,103.836183172256,ORCHARD
TAXI STAND,1.30419408708464,103.833800509717,ORCHARD
TAXI STAND,1.3074080067596,103.833348355774,ORCHARD
TAXI PICK UP,1.30716132419704,103.835594566939,NEWTON
TAXI PICK UP,1.30157395202463,103.836823485376,ORCHARD
TAXI STAND,1.30230535960629,103.83441437542,ORCHARD
TAXI PICK UP,1.30202307273816,103.835803737481,ORCHARD
TAXI STAND,1.30376588043045,103.832870253636,ORCHARD
TAXI STAND,1.29980452525872,103.842393209281,ORCHARD
TAXI STAND,1.29452122945403,103.806405933757,QUEENSTOWN
TAXI STOP,1.36254448874525,103.76722047896,BUKIT BATOK
TAXI STAND,1.37027722760373,103.764150935194,BUKIT PANJANG
TAXI STOP,1.36251590826759,103.767620029356,BUKIT PANJANG
TAXI STAND,1.35438636182877,103.942607231235,TAMPINES
TAXI STAND,1.33632573587789,103.783071096751,BUKIT TIMAH
TAXI PICK UP,1.33403408069404,103.961408466838,TAMPINES
TAXI STAND,1.32146688676422,103.871159863585,KALLANG
TAXI STOP,1.33577311464191,103.783241783828,BUKIT TIMAH
TAXI STAND,1.33660991950501,103.933394933667,BEDOK
TAXI STOP,1.33833458580991,103.707115643351,JURONG WEST
TAXI STAND,1.35991042944541,103.884589589284,HOUGANG
TAXI STAND,1.33636113363405,103.933042867332,BEDOK
TAXI STAND,1.33593293507497,103.960921846254,TAMPINES
TAXI STOP,1.32727592055195,103.945655745104,BEDOK
TAXI STOP,1.32587727915122,103.883868214722,GEYLANG
TAXI STOP,1.32741225239118,103.883143375684,GEYLANG
TAXI STAND,1.29230089393562,103.844195443997,SINGAPORE RIVER
TAXI STAND,1.31475239019697,103.894052751983,GEYLANG
TAXI STAND,1.32075659589492,103.912428393473,BEDOK
TAXI STAND,1.31005495010848,103.795443671374,QUEENSTOWN
TAXI STAND,1.35881140906586,103.751503199305,BUKIT BATOK
TAXI STAND,1.26510488246189,103.823159290081,BUKIT MERAH
TAXI STAND,1.3162919899991,103.835789753436,NEWTON
TAXI STAND,1.31249149878088,103.853220659274,KALLANG
TAXI STAND,1.31262975883044,103.853590891913,ROCHOR
TAXI STAND,1.3926325412597,103.895268317958,SENGKANG
TAXI STAND,1.26463033181162,103.820604710682,BUKIT MERAH
TAXI STAND,1.40550803602075,103.902206164146,PUNGGOL
TAXI STAND,1.33112556922474,103.925469405555,BEDOK
TAXI STAND,1.31217165966155,103.938959190342,BEDOK
TAXI STOP,1.31375445388527,103.837341398803,NEWTON
TAXI STAND,1.34319142376913,103.775722619193,BUKIT TIMAH
TAXI STAND,1.33161461690238,103.869339782541,TOA PAYOH
TAXI STOP,1.31991920834096,103.826285911435,TANGLIN
TAXI STAND,1.34218373476999,103.775811460765,BUKIT TIMAH
TAXI STAND,1.3971570755791,103.747523271891,CHOA CHU KANG
TAXI STAND,1.33864363120694,103.778883288834,BUKIT TIMAH
TAXI STAND,1.44177413253033,103.824532096175,SEMBAWANG
TAXI STAND,1.33254275129939,103.868937186467,TOA PAYOH
TAXI STAND,1.31140266029671,103.779163280556,QUEENSTOWN
TAXI STAND,1.34231032229064,103.95291131474,TAMPINES
TAXI STAND,1.31411689332764,103.765478777987,CLEMENTI
TAXI STAND,1.37191550686457,103.829205483102,ANG MO KIO
TAXI STAND,1.40472408659492,103.790504374369,CENTRAL WATER CATCHMENT
TAXI STAND,1.28643009128598,103.8013620149,QUEENSTOWN
TAXI STAND,1.2982920209205,103.783722064331,QUEENSTOWN
TAXI STAND,1.30240889880013,103.798007045085,QUEENSTOWN
TAXI STAND,1.33895293771344,103.70691828114,JURONG WEST
TAXI STAND,1.28819850640042,103.803513206872,QUEENSTOWN
TAXI PICK UP,1.29883906760202,103.849255177629,MUSEUM
TAXI STAND,1.29334803976322,103.82512533799,TANGLIN
TAXI STAND,1.37239405588632,103.948703239266,PASIR RIS
TAXI STAND,1.3176735113051,103.897691045859,GEYLANG
TAXI STAND,1.38969082862573,103.98687036904,CHANGI
TAXI STAND,1.30860413752991,103.889218870902,GEYLANG
TAXI STAND,1.32671150642353,103.946055161682,BEDOK
TAXI STAND,1.30055929764133,103.849689598954,ROCHOR
TAXI STAND,1.34945201192256,103.874142348411,SERANGOON
TAXI STAND,1.30543468538529,103.849587840634,ROCHOR
TAXI STAND,1.30054238158411,103.845233591637,MUSEUM
TAXI STAND,1.2991695765864,103.847482779686,MUSEUM
TAXI STOP,1.29893243243606,103.856424176322,DOWNTOWN CORE
TAXI STOP,1.29624001232489,103.846081628074,MUSEUM
TAXI PICK UP,1.29237922991947,103.856686628417,DOWNTOWN CORE
TAXI STAND,1.29153065269915,103.859847473923,DOWNTOWN CORE
TAXI STAND,1.29534702995305,103.85865626898,DOWNTOWN CORE
TAXI STAND,1.29498128502244,103.859507617428,DOWNTOWN CORE
TAXI STAND,1.29161937347169,103.857872556488,DOWNTOWN CORE
TAXI STAND,1.29283496469241,103.860595017621,DOWNTOWN CORE
TAXI STAND,1.28982162211818,103.856291387945,DOWNTOWN CORE
TAXI STAND,1.29280372329888,103.856945313496,DOWNTOWN CORE
TAXI PICK UP,1.29333906354854,103.853718463305,DOWNTOWN CORE
TAXI STAND,1.29420695283088,103.849281484895,MUSEUM
TAXI STAND,1.27348368414896,103.809423382939,BUKIT MERAH
TAXI STOP,1.3394746543793,103.985117442977,CHANGI
TAXI STAND,1.3143707178927,103.988343200501,CHANGI
TAXI STOP,1.29807285037924,103.852182819819,ROCHOR
TAXI STAND,1.34941741692061,103.839350784556,BISHAN
TAXI PICK UP,1.29730959597766,103.852736813681,ROCHOR
TAXI STAND,1.29716395017994,103.857019660094,DOWNTOWN CORE
TAXI STAND,1.29623768823747,103.855413485151,DOWNTOWN CORE
TAXI STAND,1.30000940881871,103.855608532142,DOWNTOWN CORE
TAXI STAND,1.33809963085823,103.924013556239,BEDOK
TAXI STAND,1.37148195599556,103.892920720311,HOUGANG
TAXI STAND,1.39265834120381,103.895998104293,SENGKANG
TAXI STAND,1.45894682350298,103.829891106921,SEMBAWANG
TAXI STAND,1.29133284409368,103.845772830407,SINGAPORE RIVER
TAXI STOP,1.42561427476294,103.762255765277,SUNGEI KADUT
TAXI STAND,1.29170672083649,103.845274572739,SINGAPORE RIVER
TAXI STAND,1.28429452536315,103.844051958326,OUTRAM
TAXI STAND,1.28597754921914,103.843773680124,OUTRAM
TAXI STOP,1.28345291308259,103.84327363262,OUTRAM
TAXI STOP,1.28896389350708,103.848140265007,SINGAPORE RIVER
TAXI STAND,1.28843046072983,103.847481756514,SINGAPORE RIVER
TAXI STAND,1.28863630416898,103.842152244741,SINGAPORE RIVER
TAXI STAND,1.28880542034085,103.846230414881,SINGAPORE RIVER
TAXI STAND,1.28920456847911,103.844040018509,SINGAPORE RIVER
TAXI STAND,1.28677772260833,103.847426788021,SINGAPORE RIVER
TAXI STAND,1.28796907499702,103.848893782103,SINGAPORE RIVER
TAXI PICK UP,1.28491188011372,103.847616387039,OUTRAM
TAXI STAND,1.28688656715046,103.848810176953,SINGAPORE RIVER
TAXI STOP,1.28346964198211,103.846673278258,OUTRAM
TAXI STOP,1.2851919066397,103.852107912258,DOWNTOWN CORE
TAXI STOP,1.28420476348229,103.852736816123,DOWNTOWN CORE
TAXI STAND,1.28441342082218,103.850273494163,DOWNTOWN CORE
TAXI STAND,1.3064691981424,103.826886684682,ORCHARD
TAXI STAND,1.29353055985791,103.852748459853,DOWNTOWN CORE
TAXI PICK UP,1.2942598191738,103.853766300823,DOWNTOWN CORE
TAXI STAND,1.28473835932408,103.832675520587,BUKIT MERAH
TAXI STAND,1.35241407388209,103.945224063825,TAMPINES
TAXI STAND,1.26587789263447,103.821203456897,BUKIT MERAH
TAXI STAND,1.30384362573694,103.901377015852,MARINE PARADE
TAXI STAND,1.3173843614597,103.807305864919,BUKIT TIMAH
TAXI STAND,1.35009864026999,103.725202658894,JURONG WEST
TAXI STOP,1.30719206804144,103.829093966643,ORCHARD
TAXI STOP,1.37272868417714,103.9495673968,PASIR RIS
TAXI STOP,1.28593524755297,103.8484908844,DOWNTOWN CORE
TAXI PICK UP,1.27737387740539,103.847482624814,DOWNTOWN CORE
TAXI STOP,1.27743521110542,103.84890080592,DOWNTOWN CORE
TAXI STOP,1.27905252389613,103.84984287629,DOWNTOWN CORE
TAXI STOP,1.27962397773776,103.849394650034,DOWNTOWN CORE
TAXI STOP,1.27813835922894,103.848501793488,DOWNTOWN CORE
TAXI PICK UP,1.27664231947893,103.855560059163,DOWNTOWN CORE
TAXI STAND,1.2783688648082,103.8450874022,OUTRAM
TAXI STAND,1.30820272087773,103.922591200147,BEDOK
TAXI STAND,1.27787730214738,103.843737072626,OUTRAM
TAXI STAND,1.31723437661552,103.895113700146,GEYLANG
TAXI STAND,1.27784393236137,103.843165313051,OUTRAM
TAXI STAND,1.27875755503226,103.844215379531,OUTRAM
TAXI STOP,1.33101885572315,103.796775193086,BUKIT TIMAH
TAXI STOP,1.27466733662054,103.847052001533,DOWNTOWN CORE
TAXI STAND,1.27570136618495,103.846128972146,DOWNTOWN CORE
TAXI PICK UP,1.27370385357303,103.844904054241,DOWNTOWN CORE
TAXI STOP,1.27417995494083,103.842683370642,DOWNTOWN CORE
TAXI STOP,1.27505224129205,103.843317281312,OUTRAM
TAXI STAND,1.27344843070304,103.84380157804,DOWNTOWN CORE
TAXI STAND,1.32098062894893,103.707067939512,BOON LAY
TAXI STAND,1.28665079659078,103.827846438586,BUKIT MERAH
TAXI STAND,1.27818104781565,103.834085654148,BUKIT MERAH
TAXI STAND,1.31177998898829,103.787973023679,QUEENSTOWN
TAXI STOP,1.30258027045486,103.840962756386,ORCHARD
TAXI STAND,1.30116046171733,103.839766933067,ORCHARD
TAXI STOP,1.41900734181663,103.864451471702,SELETAR
TAXI STAND,1.26712695667015,103.859779575922,STRAITS VIEW
TAXI STOP,1.28202698118912,103.849821548306,DOWNTOWN CORE
TAXI STAND,1.28326100602372,103.781622185701,QUEENSTOWN
TAXI STOP,1.28264978211637,103.84883854916,DOWNTOWN CORE
TAXI STAND,1.28823316772359,103.851198093634,DOWNTOWN CORE
TAXI STOP,1.28345131750286,103.851238932314,DOWNTOWN CORE
TAXI STAND,1.29286969838043,103.844326810467,MUSEUM
TAXI STOP,1.34578087497608,103.938271913688,TAMPINES
TAXI STOP,1.34490972152599,103.93913800891,TAMPINES
TAXI STAND,1.29913571451293,103.850444549694,ROCHOR
TAXI STAND,1.3347384446925,103.90912566648,BEDOK
TAXI STAND,1.33491645758225,103.908454418848,BEDOK
TAXI STAND,1.35636660603143,103.954490055365,TAMPINES
TAXI STAND,1.32989661151384,103.89892862095,GEYLANG
TAXI STOP,1.33444139056768,103.918731162382,BEDOK
TAXI STAND,1.32998564584959,103.899691132608,GEYLANG
TAXI STOP,1.33512874424179,103.9181783195,BEDOK
TAXI STAND,1.29278855965332,103.851421594086,DOWNTOWN CORE
TAXI STAND,1.32618525611186,103.88847197503,GEYLANG
TAXI STAND,1.44094718292646,103.801214989522,WOODLANDS
TAXI STAND,1.35955948680076,103.884625485154,HOUGANG
TAXI PICK UP,1.30429629057912,103.853055449768,ROCHOR
TAXI STAND,1.30586728334323,103.855496065253,ROCHOR
TAXI STAND,1.30363754993363,103.856078809023,ROCHOR
TAXI PICK UP,1.30338394835351,103.852606680736,ROCHOR
TAXI STOP,1.30150052239579,103.852376724898,ROCHOR
TAXI STOP,1.27787431183137,103.818361496067,BUKIT MERAH
TAXI STOP,1.30268271893416,103.839974802639,ORCHARD
TAXI STAND,1.30097614183073,103.842088725031,ORCHARD
TAXI STAND,1.30034366767474,103.840410613964,ORCHARD
TAXI PICK UP,1.28430342894645,103.848910024096,OUTRAM
TAXI STAND,1.43724182275798,103.787230066559,WOODLANDS
TAXI STAND,1.42867861776424,103.835133733021,YISHUN
TAXI STAND,1.27587170703981,103.843247969896,OUTRAM
TAXI STAND,1.30470408517745,103.87213795813,KALLANG
TAXI STAND,1.31006193558136,103.792973328725,QUEENSTOWN
TAXI STAND,1.29998728164567,103.851125150646,ROCHOR
TAXI STAND,1.33774653955476,103.839462563748,TOA PAYOH
TAXI STAND,1.28112786697263,103.852176742375,DOWNTOWN CORE
TAXI STAND,1.27880263982579,103.843841332424,OUTRAM
TAXI STAND,1.44365217342008,103.769600561123,WOODLANDS
TAXI STOP,1.35508020832295,103.986763221536,CHANGI
TAXI STAND,1.38211437340324,103.844370878099,ANG MO KIO
TAXI STAND,1.36992447367304,103.849392502434,ANG MO KIO
TAXI STAND,1.44938561077987,103.820268582229,SEMBAWANG
TAXI STAND,1.350751623661,103.849136820382,BISHAN
TAXI STAND,1.35149870857648,103.847756243654,BISHAN
TAXI STAND,1.35176533834134,103.848153531773,BISHAN
TAXI STAND,1.33119691076016,103.849731417352,TOA PAYOH
TAXI STAND,1.34106777092027,103.846100275485,TOA PAYOH
TAXI STAND,1.33420057999836,103.850370826385,TOA PAYOH
TAXI STAND,1.35496651527274,103.831082747774,BISHAN
TAXI STAND,1.3197871438155,103.861921756808,KALLANG
TAXI STAND,1.30666833436119,103.790497651734,QUEENSTOWN
TAXI STAND,1.31192314627586,103.83775535579,NEWTON
TAXI STAND,1.28182826167733,103.851613311684,DOWNTOWN CORE
TAXI STAND,1.28182826167733,103.851613311684,DOWNTOWN CORE
TAXI STAND,1.34441576576363,103.720479176652,JURONG WEST
TAXI STAND,1.30514643934732,103.830426960796,ORCHARD
TAXI STAND,1.28904925399953,103.817380531384,BUKIT MERAH
TAXI STAND,1.30521700403034,103.824155331603,ORCHARD
TAXI STAND,1.29991929595975,103.822639559235,TANGLIN
TAXI STAND,1.28285624960754,103.816878439828,BUKIT MERAH
TAXI STAND,1.29524408892448,103.805363122806,QUEENSTOWN
TAXI STAND,1.30211711854606,103.798993839899,QUEENSTOWN
TAXI STAND,1.28886465021476,103.834748899888,BUKIT MERAH
TAXI STAND,1.32447984048129,103.931488896155,BEDOK
TAXI STAND,1.33354842333186,103.740593011945,JURONG EAST
TAXI STAND,1.33902458278125,103.870521086076,TOA PAYOH
TAXI STAND,1.4293660973834,103.836761578694,YISHUN
TAXI STAND,1.33364584720274,103.847000196865,TOA PAYOH
TAXI STAND,1.32758319630616,103.678472211052,PIONEER
TAXI STAND,1.30134680299679,103.875811555105,KALLANG
TAXI STAND,1.3115607021875,103.777932195686,QUEENSTOWN
TAXI STAND,1.39070376752098,103.895228197003,SENGKANG
TAXI STOP,1.44804822209802,103.819102634273,SEMBAWANG
TAXI STAND,1.31471680295356,103.894308562833,GEYLANG
TAXI STAND,1.34259903463958,103.732579544944,JURONG EAST
TAXI STAND,1.28369091641459,103.781287790841,QUEENSTOWN
TAXI STAND,1.29072615535999,103.844955822364,SINGAPORE RIVER
TAXI STAND,1.33075230007373,103.67845012033,JURONG WEST
TAXI STAND,1.3051700649448,103.914855128311,MARINE PARADE
TAXI STAND,1.27066006493272,103.862152902703,STRAITS VIEW
TAXI STAND,1.35463854336048,103.877124164427,SERANGOON
TAXI PICK UP,1.29114378146594,103.844988124756,SINGAPORE RIVER
TAXI STAND,1.31894513974117,103.89307870734,GEYLANG
TAXI STAND,1.35335622123368,103.870629419173,SERANGOON
TAXI STAND,1.43241138550672,103.773731331125,WOODLANDS
TAXI STAND,1.31825639660277,103.891820938452,GEYLANG
TAXI STAND,1.35066018357609,103.87431517825,SERANGOON
TAXI STAND,1.38249429199095,103.892923925232,SENGKANG
TAXI STAND,1.32363861541193,103.929506583064,BEDOK
TAXI STAND,1.34225424543018,103.880657258506,SERANGOON
TAXI STAND,1.3515121525431,103.864617044327,SERANGOON
TAXI STOP,1.2833770456283,103.852908886235,DOWNTOWN CORE
TAXI STAND,1.31916049834381,103.887316843115,GEYLANG
TAXI STAND,1.31775099047346,103.785951954478,BUKIT TIMAH
TAXI STOP,1.29844318944165,103.855461791157,DOWNTOWN CORE
TAXI STAND,1.31601299997146,103.883156178259,GEYLANG
TAXI STAND,1.33829836763775,103.706623602546,JURONG WEST
TAXI STAND,1.30037806580691,103.839239004761,ORCHARD
TAXI STAND,1.31449612860495,103.837126452867,NEWTON
TAXI STAND,1.3241580765223,103.929377846744,BEDOK
TAXI STAND,1.33169160265804,103.744186664198,JURONG EAST
TAXI STOP,1.3009747934227,103.875431710672,KALLANG
TAXI STAND,1.32618484019566,103.808098765096,BUKIT TIMAH
TAXI STAND,1.32574370621525,103.807529832746,BUKIT TIMAH
TAXI STOP,1.32264354040254,103.815804563526,TANGLIN
TAXI STAND,1.31891371659834,103.660256028344,PIONEER
TAXI STAND,1.32952499135373,103.639824809021,TUAS
TAXI STAND,1.3189603226887,103.659505010888,TUAS
,1.34128500344973,103.637429639215,TUAS
TAXI STAND,1.33028770497675,103.639633916009,TUAS
TAXI STAND,1.32096297506533,103.649544169634,TUAS
TAXI STAND,1.30664533440123,103.849816838652,ROCHOR
TAXI STAND,1.37881738983853,103.761364921006,BUKIT BATOK
TAXI STOP,1.30341510379673,103.853166144212,ROCHOR
TAXI STAND,1.30488198952975,103.908976676019,MARINE PARADE
TAXI STAND,1.3183367007062,103.863376565914,KALLANG
TAXI STAND,1.38331579793032,103.88495496341,HOUGANG
TAXI STAND,1.30789598526578,103.862869643123,KALLANG
TAXI STOP,1.30674731271747,103.86261868194,KALLANG
TAXI STAND,1.32274750884811,103.854955983417,NOVENA
TAXI STAND,1.32469192358914,103.850801268324,NOVENA
TAXI STAND,1.30331734722192,103.861400814012,ROCHOR
TAXI STAND,1.29980297396355,103.863538432656,DOWNTOWN CORE
TAXI STAND,1.3029368787951,103.864948822835,DOWNTOWN CORE
TAXI PICK UP,1.3791347185314,103.761843058099,BUKIT PANJANG
,1.34069359574227,103.636999251807,TUAS
TAXI STOP,1.31086669177106,103.856029699608,KALLANG
TAXI STAND,1.31101921191935,103.854886638001,KALLANG
TAXI STAND,1.30525214864208,103.851617919196,ROCHOR
TAXI STAND,1.31220051769694,103.837586460423,NEWTON
TAXI STAND,1.27621902973046,103.820253816,BUKIT MERAH
TAXI STOP,1.34133988705311,103.961546284504,TAMPINES
TAXI STOP,1.34199572678069,103.961342992979,TAMPINES
